,model_type,r2,mse,impute
0,INDUS - 0.1,0.775,19.0374,mean
1,INDUS - 0.1,0.7767,18.8971,mean
2,INDUS - 0.1,0.7771,18.8655,mean
3,INDUS - 0.1,0.7766,18.9016,mean
4,INDUS - 0.1,0.775,19.0383,mean
5,INDUS - 0.1,0.7764,18.9209,mean
6,INDUS - 0.1,0.777,18.8714,mean
7,INDUS - 0.1,0.7761,18.9442,mean
8,INDUS - 0.1,0.7769,18.8816,mean
9,INDUS - 0.1,0.777,18.8746,mean
10,INDUS - 0.1,0.7764,18.92,mean
11,INDUS - 0.1,0.7769,18.8808,mean
12,INDUS - 0.1,0.7765,18.9177,mean
13,INDUS - 0.1,0.7754,19.0041,mean
14,INDUS - 0.1,0.7765,18.912,mean
15,INDUS - 0.1,0.7763,18.9327,mean
16,INDUS - 0.1,0.776,18.9525,mean
17,INDUS - 0.1,0.7768,18.892,mean
18,INDUS - 0.1,0.7768,18.8859,mean
19,INDUS - 0.1,0.7768,18.8858,mean
20,INDUS - 0.1,0.776,18.9543,mean
21,INDUS - 0.1,0.777,18.8703,mean
22,INDUS - 0.1,0.7767,18.8999,mean
23,INDUS - 0.1,0.7759,18.9633,mean
24,INDUS - 0.1,0.7755,19.0007,mean
25,INDUS - 0.1,0.7763,18.9312,mean
26,INDUS - 0.1,0.7767,18.8927,mean
27,INDUS - 0.1,0.7759,18.9687,mean
28,INDUS - 0.1,0.7751,19.0295,mean
29,INDUS - 0.1,0.7771,18.8632,mean
30,INDUS - 0.1,0.777,18.8688,mean
31,INDUS - 0.1,0.7754,19.0045,mean
32,INDUS - 0.1,0.7766,18.904,mean
33,INDUS - 0.1,0.776,18.9528,mean
34,INDUS - 0.1,0.7765,18.9109,mean
35,INDUS - 0.1,0.7771,18.8652,mean
36,INDUS - 0.1,0.7754,19.0048,mean
37,INDUS - 0.1,0.7771,18.8658,mean
38,INDUS - 0.1,0.7762,18.9369,mean
39,INDUS - 0.1,0.7767,18.8965,mean
40,INDUS - 0.1,0.7772,18.8529,mean
41,INDUS - 0.1,0.7762,18.9404,mean
42,INDUS - 0.1,0.7769,18.8811,mean
43,INDUS - 0.1,0.7745,19.0796,mean
44,INDUS - 0.1,0.7771,18.8659,mean
45,INDUS - 0.1,0.776,18.9531,mean
46,INDUS - 0.1,0.7758,18.976,mean
47,INDUS - 0.1,0.7758,18.9729,mean
48,INDUS - 0.1,0.7761,18.9498,mean
49,INDUS - 0.1,0.7767,18.8929,mean
50,INDUS - 0.1,0.7741,19.1198,mean
51,INDUS - 0.1,0.7762,18.9419,mean
52,INDUS - 0.1,0.7769,18.8806,mean
53,INDUS - 0.1,0.7769,18.881,mean
54,INDUS - 0.1,0.7761,18.9461,mean
55,INDUS - 0.1,0.7757,18.9792,mean
56,INDUS - 0.1,0.7759,18.9626,mean
57,INDUS - 0.1,0.7764,18.9242,mean
58,INDUS - 0.1,0.7767,18.8936,mean
59,INDUS - 0.1,0.7758,18.9703,mean
60,INDUS - 0.1,0.7767,18.8979,mean
61,INDUS - 0.1,0.7761,18.9451,mean
62,INDUS - 0.1,0.7771,18.8604,mean
63,INDUS - 0.1,0.776,18.9553,mean
64,INDUS - 0.1,0.7757,18.9794,mean
65,INDUS - 0.1,0.7771,18.8645,mean
66,INDUS - 0.1,0.7769,18.8769,mean
67,INDUS - 0.1,0.777,18.8717,mean
68,INDUS - 0.1,0.7769,18.8765,mean
69,INDUS - 0.1,0.7757,18.9844,mean
70,INDUS - 0.1,0.7762,18.9418,mean
71,INDUS - 0.1,0.7767,18.8975,mean
72,INDUS - 0.1,0.7772,18.8503,mean
73,INDUS - 0.1,0.7766,18.9052,mean
74,INDUS - 0.1,0.7767,18.8951,mean
75,INDUS - 0.1,0.7766,18.903,mean
76,INDUS - 0.1,0.7768,18.8883,mean
77,INDUS - 0.1,0.7771,18.867,mean
78,INDUS - 0.1,0.776,18.9602,mean
79,INDUS - 0.1,0.7757,18.9852,mean
80,INDUS - 0.1,0.7754,19.0074,mean
81,INDUS - 0.1,0.7768,18.8862,mean
82,INDUS - 0.1,0.7767,18.8984,mean
83,INDUS - 0.1,0.7768,18.8852,mean
84,INDUS - 0.1,0.7766,18.9031,mean
85,INDUS - 0.1,0.7766,18.9068,mean
86,INDUS - 0.1,0.7763,18.9322,mean
87,INDUS - 0.1,0.777,18.8738,mean
88,INDUS - 0.1,0.7764,18.9221,mean
89,INDUS - 0.1,0.7765,18.9102,mean
90,INDUS - 0.1,0.7771,18.8636,mean
91,INDUS - 0.1,0.7747,19.0659,mean
92,INDUS - 0.1,0.7766,18.9088,mean
93,INDUS - 0.1,0.7768,18.8913,mean
94,INDUS - 0.1,0.7769,18.8799,mean
95,INDUS - 0.1,0.7764,18.9208,mean
96,INDUS - 0.1,0.7764,18.924,mean
97,INDUS - 0.1,0.7766,18.9075,mean
98,INDUS - 0.1,0.7767,18.8953,mean
99,INDUS - 0.1,0.7767,18.8992,mean
100,INDUS - 0.1,0.777,18.8705,mean
101,INDUS - 0.1,0.7762,18.9365,mean
102,INDUS - 0.1,0.7768,18.8882,mean
103,INDUS - 0.1,0.7771,18.8612,mean
104,INDUS - 0.1,0.7762,18.9361,mean
105,INDUS - 0.1,0.7767,18.8934,mean
106,INDUS - 0.1,0.7767,18.8937,mean
107,INDUS - 0.1,0.7767,18.9002,mean
108,INDUS - 0.1,0.776,18.9549,mean
109,INDUS - 0.1,0.7766,18.9063,mean
110,INDUS - 0.1,0.7768,18.8887,mean
111,INDUS - 0.1,0.7768,18.8912,mean
112,INDUS - 0.1,0.7764,18.9226,mean
113,INDUS - 0.1,0.7766,18.9057,mean
114,INDUS - 0.1,0.7766,18.9024,mean
115,INDUS - 0.1,0.7766,18.907,mean
116,INDUS - 0.1,0.7769,18.8763,mean
117,INDUS - 0.1,0.7762,18.9433,mean
118,INDUS - 0.1,0.7768,18.8889,mean
119,INDUS - 0.1,0.7769,18.8789,mean
120,INDUS - 0.1,0.7761,18.9495,mean
121,INDUS - 0.1,0.7767,18.9004,mean
122,INDUS - 0.1,0.7765,18.9138,mean
123,INDUS - 0.1,0.7772,18.8584,mean
124,INDUS - 0.1,0.7766,18.9094,mean
125,INDUS - 0.1,0.7767,18.8994,mean
126,INDUS - 0.1,0.7769,18.88,mean
127,INDUS - 0.1,0.7763,18.9268,mean
128,INDUS - 0.1,0.7772,18.8584,mean
129,INDUS - 0.1,0.7765,18.9095,mean
130,INDUS - 0.1,0.7766,18.9093,mean
131,INDUS - 0.1,0.7762,18.9381,mean
132,INDUS - 0.1,0.7757,18.9777,mean
133,INDUS - 0.1,0.7763,18.9326,mean
134,INDUS - 0.1,0.7767,18.899,mean
135,INDUS - 0.1,0.7768,18.8891,mean
136,INDUS - 0.1,0.777,18.8713,mean
137,INDUS - 0.1,0.776,18.954,mean
138,INDUS - 0.1,0.7767,18.8937,mean
139,INDUS - 0.1,0.7768,18.8841,mean
140,INDUS - 0.1,0.7756,18.991,mean
141,INDUS - 0.1,0.7762,18.9398,mean
142,INDUS - 0.1,0.7753,19.0148,mean
143,INDUS - 0.1,0.7762,18.9413,mean
144,INDUS - 0.1,0.7765,18.9123,mean
145,INDUS - 0.1,0.7767,18.9004,mean
146,INDUS - 0.1,0.7768,18.8893,mean
147,INDUS - 0.1,0.776,18.952,mean
148,INDUS - 0.1,0.7764,18.9184,mean
149,INDUS - 0.1,0.776,18.9577,mean
150,INDUS - 0.1,0.7769,18.8761,mean
151,INDUS - 0.1,0.7766,18.9064,mean
152,INDUS - 0.1,0.7751,19.0318,mean
153,INDUS - 0.1,0.7754,19.0076,mean
154,INDUS - 0.1,0.7768,18.8862,mean
155,INDUS - 0.1,0.7768,18.8895,mean
156,INDUS - 0.1,0.7761,18.9442,mean
157,INDUS - 0.1,0.7768,18.8846,mean
158,INDUS - 0.1,0.7768,18.8885,mean
159,INDUS - 0.1,0.7769,18.8803,mean
160,INDUS - 0.1,0.7771,18.8623,mean
161,INDUS - 0.1,0.7758,18.9738,mean
162,INDUS - 0.1,0.7769,18.8781,mean
163,INDUS - 0.1,0.7768,18.8902,mean
164,INDUS - 0.1,0.7759,18.9629,mean
165,INDUS - 0.1,0.7768,18.8908,mean
166,INDUS - 0.1,0.7764,18.9182,mean
167,INDUS - 0.1,0.7768,18.8868,mean
168,INDUS - 0.1,0.7771,18.8665,mean
169,INDUS - 0.1,0.7766,18.9093,mean
170,INDUS - 0.1,0.7765,18.9159,mean
171,INDUS - 0.1,0.7755,18.9973,mean
172,INDUS - 0.1,0.7751,19.0289,mean
173,INDUS - 0.1,0.7753,19.0117,mean
174,INDUS - 0.1,0.7767,18.8963,mean
175,INDUS - 0.1,0.7762,18.9373,mean
176,INDUS - 0.1,0.777,18.8718,mean
177,INDUS - 0.1,0.7768,18.8903,mean
178,INDUS - 0.1,0.7763,18.9335,mean
179,INDUS - 0.1,0.7769,18.8764,mean
180,INDUS - 0.1,0.7772,18.8586,mean
181,INDUS - 0.1,0.7767,18.901,mean
182,INDUS - 0.1,0.7765,18.9162,mean
183,INDUS - 0.1,0.7767,18.8937,mean
184,INDUS - 0.1,0.7767,18.8978,mean
185,INDUS - 0.1,0.7752,19.0231,mean
186,INDUS - 0.1,0.7768,18.8851,mean
187,INDUS - 0.1,0.7765,18.9156,mean
188,INDUS - 0.1,0.7765,18.9135,mean
189,INDUS - 0.1,0.7768,18.8923,mean
190,INDUS - 0.1,0.7762,18.9379,mean
191,INDUS - 0.1,0.7769,18.88,mean
192,INDUS - 0.1,0.7759,18.9622,mean
193,INDUS - 0.1,0.777,18.874,mean
194,INDUS - 0.1,0.777,18.868,mean
195,INDUS - 0.1,0.7763,18.9342,mean
196,INDUS - 0.1,0.7761,18.9448,mean
197,INDUS - 0.1,0.7765,18.9131,mean
198,INDUS - 0.1,0.7769,18.8814,mean
199,INDUS - 0.1,0.7767,18.8952,mean
200,INDUS - 0.1,0.7763,18.9269,mean
201,INDUS - 0.1,0.7756,18.9896,mean
202,INDUS - 0.1,0.7762,18.9391,mean
203,INDUS - 0.1,0.777,18.8711,mean
204,INDUS - 0.1,0.776,18.9577,mean
205,INDUS - 0.1,0.7765,18.9161,mean
206,INDUS - 0.1,0.7768,18.8923,mean
207,INDUS - 0.1,0.7771,18.8632,mean
208,INDUS - 0.1,0.7756,18.9858,mean
209,INDUS - 0.1,0.777,18.8722,mean
210,INDUS - 0.1,0.7765,18.9114,mean
211,INDUS - 0.1,0.7767,18.8946,mean
212,INDUS - 0.1,0.7765,18.9109,mean
213,INDUS - 0.1,0.7763,18.9303,mean
214,INDUS - 0.1,0.7762,18.9398,mean
215,INDUS - 0.1,0.7765,18.9153,mean
216,INDUS - 0.1,0.7765,18.9107,mean
217,INDUS - 0.1,0.7764,18.919,mean
218,INDUS - 0.1,0.7758,18.9754,mean
219,INDUS - 0.1,0.777,18.8684,mean
220,INDUS - 0.1,0.7772,18.8527,mean
221,INDUS - 0.1,0.7763,18.9321,mean
222,INDUS - 0.1,0.7767,18.8989,mean
223,INDUS - 0.1,0.7767,18.8985,mean
224,INDUS - 0.1,0.7769,18.8773,mean
225,INDUS - 0.1,0.7768,18.8911,mean
226,INDUS - 0.1,0.7768,18.8893,mean
227,INDUS - 0.1,0.7767,18.8949,mean
228,INDUS - 0.1,0.7768,18.8906,mean
229,INDUS - 0.1,0.7756,18.9909,mean
230,INDUS - 0.1,0.7768,18.8925,mean
231,INDUS - 0.1,0.7754,19.009,mean
232,INDUS - 0.1,0.7762,18.9361,mean
233,INDUS - 0.1,0.7763,18.9319,mean
234,INDUS - 0.1,0.7765,18.9129,mean
235,INDUS - 0.1,0.7764,18.9217,mean
236,INDUS - 0.1,0.7753,19.0188,mean
237,INDUS - 0.1,0.7764,18.9194,mean
238,INDUS - 0.1,0.7763,18.9266,mean
239,INDUS - 0.1,0.7767,18.8963,mean
240,INDUS - 0.1,0.7768,18.8898,mean
241,INDUS - 0.1,0.7767,18.8993,mean
242,INDUS - 0.1,0.7769,18.8798,mean
243,INDUS - 0.1,0.7768,18.8914,mean
244,INDUS - 0.1,0.7766,18.9016,mean
245,INDUS - 0.1,0.7763,18.9307,mean
246,INDUS - 0.1,0.7767,18.8991,mean
247,INDUS - 0.1,0.7767,18.8983,mean
248,INDUS - 0.1,0.7761,18.9451,mean
249,INDUS - 0.1,0.7772,18.8507,mean
250,INDUS - 0.1,0.7764,18.9233,mean
251,INDUS - 0.1,0.7756,18.9884,mean
252,INDUS - 0.1,0.7766,18.9014,mean
253,INDUS - 0.1,0.7771,18.8668,mean
254,INDUS - 0.1,0.776,18.9598,mean
255,INDUS - 0.1,0.7768,18.8856,mean
256,INDUS - 0.1,0.7768,18.8915,mean
257,INDUS - 0.1,0.7764,18.9262,mean
258,INDUS - 0.1,0.7768,18.8857,mean
259,INDUS - 0.1,0.777,18.8733,mean
260,INDUS - 0.1,0.7767,18.8954,mean
261,INDUS - 0.1,0.7763,18.9334,mean
262,INDUS - 0.1,0.7767,18.8943,mean
263,INDUS - 0.1,0.7769,18.879,mean
264,INDUS - 0.1,0.7765,18.9107,mean
265,INDUS - 0.1,0.7766,18.9014,mean
266,INDUS - 0.1,0.7766,18.9059,mean
267,INDUS - 0.1,0.7766,18.9028,mean
268,INDUS - 0.1,0.7762,18.9381,mean
269,INDUS - 0.1,0.7761,18.949,mean
270,INDUS - 0.1,0.7767,18.8967,mean
271,INDUS - 0.1,0.777,18.8747,mean
272,INDUS - 0.1,0.7768,18.8892,mean
273,INDUS - 0.1,0.7766,18.9033,mean
274,INDUS - 0.1,0.7764,18.921,mean
275,INDUS - 0.1,0.7761,18.9465,mean
276,INDUS - 0.1,0.7761,18.9506,mean
277,INDUS - 0.1,0.7769,18.8796,mean
278,INDUS - 0.1,0.7767,18.8988,mean
279,INDUS - 0.1,0.777,18.8701,mean
280,INDUS - 0.1,0.7769,18.8764,mean
281,INDUS - 0.1,0.7771,18.863,mean
282,INDUS - 0.1,0.7766,18.9071,mean
283,INDUS - 0.1,0.7747,19.0648,mean
284,INDUS - 0.1,0.7768,18.8864,mean
285,INDUS - 0.1,0.7767,18.8946,mean
286,INDUS - 0.1,0.7766,18.905,mean
287,INDUS - 0.1,0.776,18.9572,mean
288,INDUS - 0.1,0.7733,19.186,mean
289,INDUS - 0.1,0.7769,18.8805,mean
290,INDUS - 0.1,0.7763,18.9288,mean
291,INDUS - 0.1,0.7769,18.881,mean
292,INDUS - 0.1,0.7767,18.8949,mean
293,INDUS - 0.1,0.7758,18.9726,mean
294,INDUS - 0.1,0.777,18.8729,mean
295,INDUS - 0.1,0.7763,18.9342,mean
296,INDUS - 0.1,0.7759,18.9614,mean
297,INDUS - 0.1,0.7762,18.9371,mean
298,INDUS - 0.1,0.7769,18.8834,mean
299,INDUS - 0.1,0.7761,18.9499,mean
300,INDUS - 0.1,0.7766,18.9086,mean
301,INDUS - 0.1,0.7761,18.9434,mean
302,INDUS - 0.1,0.7771,18.8659,mean
303,INDUS - 0.1,0.7759,18.9616,mean
304,INDUS - 0.1,0.7763,18.9283,mean
305,INDUS - 0.1,0.776,18.9593,mean
306,INDUS - 0.1,0.7748,19.0614,mean
307,INDUS - 0.1,0.777,18.8748,mean
308,INDUS - 0.1,0.7757,18.9795,mean
309,INDUS - 0.1,0.7766,18.9014,mean
310,INDUS - 0.1,0.7763,18.9278,mean
311,INDUS - 0.1,0.777,18.8754,mean
312,INDUS - 0.1,0.777,18.8689,mean
313,INDUS - 0.1,0.7764,18.9185,mean
314,INDUS - 0.1,0.7762,18.935,mean
315,INDUS - 0.1,0.7762,18.9416,mean
316,INDUS - 0.1,0.7762,18.9354,mean
317,INDUS - 0.1,0.776,18.9584,mean
318,INDUS - 0.1,0.7765,18.9131,mean
319,INDUS - 0.1,0.7759,18.9615,mean
320,INDUS - 0.1,0.776,18.9537,mean
321,INDUS - 0.1,0.7766,18.9022,mean
322,INDUS - 0.1,0.7761,18.9486,mean
323,INDUS - 0.1,0.7763,18.9271,mean
324,INDUS - 0.1,0.7772,18.854,mean
325,INDUS - 0.1,0.7767,18.8962,mean
326,INDUS - 0.1,0.7758,18.976,mean
327,INDUS - 0.1,0.7761,18.9452,mean
328,INDUS - 0.1,0.776,18.9579,mean
329,INDUS - 0.1,0.7759,18.9635,mean
330,INDUS - 0.1,0.7761,18.9435,mean
331,INDUS - 0.1,0.7752,19.023,mean
332,INDUS - 0.1,0.7756,18.9868,mean
333,INDUS - 0.1,0.7757,18.9777,mean
334,INDUS - 0.1,0.777,18.8745,mean
335,INDUS - 0.1,0.7769,18.8758,mean
336,INDUS - 0.1,0.7762,18.9397,mean
337,INDUS - 0.1,0.777,18.8701,mean
338,INDUS - 0.1,0.776,18.9583,mean
339,INDUS - 0.1,0.7771,18.8607,mean
340,INDUS - 0.1,0.7769,18.882,mean
341,INDUS - 0.1,0.775,19.0416,mean
342,INDUS - 0.1,0.7761,18.9438,mean
343,INDUS - 0.1,0.7761,18.9486,mean
344,INDUS - 0.1,0.7764,18.9205,mean
345,INDUS - 0.1,0.7765,18.9107,mean
346,INDUS - 0.1,0.7763,18.9346,mean
347,INDUS - 0.1,0.777,18.8738,mean
348,INDUS - 0.1,0.7765,18.9112,mean
349,INDUS - 0.1,0.7767,18.8987,mean
350,INDUS - 0.1,0.7768,18.891,mean
351,INDUS - 0.1,0.7766,18.9042,mean
352,INDUS - 0.1,0.7754,19.0048,mean
353,INDUS - 0.1,0.7755,19.0022,mean
354,INDUS - 0.1,0.7768,18.8916,mean
355,INDUS - 0.1,0.7766,18.909,mean
356,INDUS - 0.1,0.7762,18.9351,mean
357,INDUS - 0.1,0.7766,18.905,mean
358,INDUS - 0.1,0.7762,18.9353,mean
359,INDUS - 0.1,0.7766,18.9032,mean
360,INDUS - 0.1,0.7755,19.0025,mean
361,INDUS - 0.1,0.7756,18.9909,mean
362,INDUS - 0.1,0.7758,18.9753,mean
363,INDUS - 0.1,0.7767,18.8949,mean
364,INDUS - 0.1,0.7755,18.9952,mean
365,INDUS - 0.1,0.776,18.9582,mean
366,INDUS - 0.1,0.7766,18.9057,mean
367,INDUS - 0.1,0.7769,18.8838,mean
368,INDUS - 0.1,0.7765,18.9099,mean
369,INDUS - 0.1,0.7769,18.8817,mean
370,INDUS - 0.1,0.7764,18.9194,mean
371,INDUS - 0.1,0.7764,18.926,mean
372,INDUS - 0.1,0.7764,18.9194,mean
373,INDUS - 0.1,0.7765,18.9149,mean
374,INDUS - 0.1,0.7754,19.0043,mean
375,INDUS - 0.1,0.7751,19.0295,mean
376,INDUS - 0.1,0.7769,18.8838,mean
377,INDUS - 0.1,0.777,18.8696,mean
378,INDUS - 0.1,0.7768,18.8923,mean
379,INDUS - 0.1,0.7766,18.9087,mean
380,INDUS - 0.1,0.7773,18.8421,mean
381,INDUS - 0.1,0.7756,18.9941,mean
382,INDUS - 0.1,0.7764,18.9203,mean
383,INDUS - 0.1,0.776,18.9592,mean
384,INDUS - 0.1,0.7753,19.0176,mean
385,INDUS - 0.1,0.7754,19.0084,mean
386,INDUS - 0.1,0.7767,18.8967,mean
387,INDUS - 0.1,0.7768,18.8871,mean
388,INDUS - 0.1,0.7768,18.8842,mean
389,INDUS - 0.1,0.777,18.8748,mean
390,INDUS - 0.1,0.7767,18.8985,mean
391,INDUS - 0.1,0.7764,18.9217,mean
392,INDUS - 0.1,0.7761,18.9434,mean
393,INDUS - 0.1,0.7766,18.9048,mean
394,INDUS - 0.1,0.7766,18.9032,mean
395,INDUS - 0.1,0.7763,18.9278,mean
396,INDUS - 0.1,0.7753,19.0136,mean
397,INDUS - 0.1,0.7766,18.9016,mean
398,INDUS - 0.1,0.777,18.8705,mean
399,INDUS - 0.1,0.7763,18.927,mean
400,INDUS - 0.1,0.7766,18.9026,mean
401,INDUS - 0.1,0.777,18.8689,mean
402,INDUS - 0.1,0.7766,18.9051,mean
403,INDUS - 0.1,0.7766,18.9018,mean
404,INDUS - 0.1,0.7762,18.9375,mean
405,INDUS - 0.1,0.775,19.0373,mean
406,INDUS - 0.1,0.7761,18.9441,mean
407,INDUS - 0.1,0.7765,18.9105,mean
408,INDUS - 0.1,0.7758,18.9695,mean
409,INDUS - 0.1,0.7765,18.9116,mean
410,INDUS - 0.1,0.7759,18.9652,mean
411,INDUS - 0.1,0.777,18.8755,mean
412,INDUS - 0.1,0.7757,18.9782,mean
413,INDUS - 0.1,0.7766,18.9049,mean
414,INDUS - 0.1,0.7765,18.9142,mean
415,INDUS - 0.1,0.7762,18.936,mean
416,INDUS - 0.1,0.7759,18.9666,mean
417,INDUS - 0.1,0.7767,18.8982,mean
418,INDUS - 0.1,0.7759,18.9672,mean
419,INDUS - 0.1,0.7765,18.9172,mean
420,INDUS - 0.1,0.7762,18.9352,mean
421,INDUS - 0.1,0.7766,18.9055,mean
422,INDUS - 0.1,0.7757,18.9838,mean
423,INDUS - 0.1,0.776,18.9524,mean
424,INDUS - 0.1,0.7768,18.8872,mean
425,INDUS - 0.1,0.7768,18.8912,mean
426,INDUS - 0.1,0.7757,18.9801,mean
427,INDUS - 0.1,0.7765,18.9138,mean
428,INDUS - 0.1,0.7768,18.8905,mean
429,INDUS - 0.1,0.7765,18.9131,mean
430,INDUS - 0.1,0.7761,18.9448,mean
431,INDUS - 0.1,0.7772,18.8569,mean
432,INDUS - 0.1,0.7762,18.9396,mean
433,INDUS - 0.1,0.7752,19.0199,mean
434,INDUS - 0.1,0.7758,18.9741,mean
435,INDUS - 0.1,0.7772,18.8521,mean
436,INDUS - 0.1,0.7768,18.8876,mean
437,INDUS - 0.1,0.7755,18.9962,mean
438,INDUS - 0.1,0.7767,18.894,mean
439,INDUS - 0.1,0.7765,18.9154,mean
440,INDUS - 0.1,0.7766,18.9028,mean
441,INDUS - 0.1,0.7763,18.9348,mean
442,INDUS - 0.1,0.7765,18.9177,mean
443,INDUS - 0.1,0.7764,18.92,mean
444,INDUS - 0.1,0.7768,18.8862,mean
445,INDUS - 0.1,0.7758,18.9722,mean
446,INDUS - 0.1,0.777,18.8753,mean
447,INDUS - 0.1,0.7762,18.935,mean
448,INDUS - 0.1,0.7763,18.9345,mean
449,INDUS - 0.1,0.7767,18.8955,mean
450,INDUS - 0.1,0.7768,18.885,mean
451,INDUS - 0.1,0.7768,18.8858,mean
452,INDUS - 0.1,0.7764,18.9215,mean
453,INDUS - 0.1,0.7757,18.9811,mean
454,INDUS - 0.1,0.776,18.9576,mean
455,INDUS - 0.1,0.7769,18.8827,mean
456,INDUS - 0.1,0.7768,18.8914,mean
457,INDUS - 0.1,0.7766,18.9091,mean
458,INDUS - 0.1,0.7767,18.8947,mean
459,INDUS - 0.1,0.7766,18.9041,mean
460,INDUS - 0.1,0.7766,18.9082,mean
461,INDUS - 0.1,0.7756,18.9887,mean
462,INDUS - 0.1,0.7767,18.8977,mean
463,INDUS - 0.1,0.7767,18.8941,mean
464,INDUS - 0.1,0.7765,18.9106,mean
465,INDUS - 0.1,0.776,18.952,mean
466,INDUS - 0.1,0.7757,18.9826,mean
467,INDUS - 0.1,0.7767,18.8953,mean
468,INDUS - 0.1,0.7765,18.9095,mean
469,INDUS - 0.1,0.7767,18.8972,mean
470,INDUS - 0.1,0.7763,18.9286,mean
471,INDUS - 0.1,0.7766,18.9079,mean
472,INDUS - 0.1,0.7765,18.9109,mean
473,INDUS - 0.1,0.776,18.9579,mean
474,INDUS - 0.1,0.7769,18.8797,mean
475,INDUS - 0.1,0.7768,18.8861,mean
476,INDUS - 0.1,0.7768,18.8882,mean
477,INDUS - 0.1,0.777,18.8707,mean
478,INDUS - 0.1,0.7766,18.9081,mean
479,INDUS - 0.1,0.7762,18.9415,mean
480,INDUS - 0.1,0.7762,18.9431,mean
481,INDUS - 0.1,0.7762,18.9351,mean
482,INDUS - 0.1,0.7769,18.8793,mean
483,INDUS - 0.1,0.7767,18.8991,mean
484,INDUS - 0.1,0.777,18.8707,mean
485,INDUS - 0.1,0.7767,18.8946,mean
486,INDUS - 0.1,0.7766,18.9025,mean
487,INDUS - 0.1,0.7754,19.0039,mean
488,INDUS - 0.1,0.7774,18.8346,mean
489,INDUS - 0.1,0.777,18.8749,mean
490,INDUS - 0.1,0.776,18.9556,mean
491,INDUS - 0.1,0.7766,18.9064,mean
492,INDUS - 0.1,0.7765,18.9118,mean
493,INDUS - 0.1,0.7767,18.9002,mean
494,INDUS - 0.1,0.7765,18.9127,mean
495,INDUS - 0.1,0.7743,19.1028,mean
496,INDUS - 0.1,0.7768,18.8886,mean
497,INDUS - 0.1,0.777,18.8703,mean
498,INDUS - 0.1,0.7769,18.8795,mean
499,INDUS - 0.1,0.7767,18.8947,mean
500,INDUS - 0.2,0.7763,18.9287,mean
501,INDUS - 0.2,0.7762,18.942,mean
502,INDUS - 0.2,0.7769,18.8838,mean
503,INDUS - 0.2,0.7768,18.8914,mean
504,INDUS - 0.2,0.7767,18.8939,mean
505,INDUS - 0.2,0.7763,18.9288,mean
506,INDUS - 0.2,0.7764,18.9193,mean
507,INDUS - 0.2,0.7767,18.893,mean
508,INDUS - 0.2,0.777,18.8716,mean
509,INDUS - 0.2,0.7767,18.8986,mean
510,INDUS - 0.2,0.7767,18.8996,mean
511,INDUS - 0.2,0.776,18.9524,mean
512,INDUS - 0.2,0.7757,18.9809,mean
513,INDUS - 0.2,0.776,18.9553,mean
514,INDUS - 0.2,0.7765,18.9143,mean
515,INDUS - 0.2,0.7764,18.9254,mean
516,INDUS - 0.2,0.7768,18.8923,mean
517,INDUS - 0.2,0.7765,18.9161,mean
518,INDUS - 0.2,0.7763,18.9311,mean
519,INDUS - 0.2,0.7752,19.0262,mean
520,INDUS - 0.2,0.7769,18.879,mean
521,INDUS - 0.2,0.7769,18.8769,mean
522,INDUS - 0.2,0.7768,18.8882,mean
523,INDUS - 0.2,0.7768,18.8864,mean
524,INDUS - 0.2,0.7757,18.9804,mean
525,INDUS - 0.2,0.7767,18.8953,mean
526,INDUS - 0.2,0.7769,18.8783,mean
527,INDUS - 0.2,0.7765,18.9174,mean
528,INDUS - 0.2,0.7764,18.924,mean
529,INDUS - 0.2,0.777,18.8704,mean
530,INDUS - 0.2,0.7766,18.9049,mean
531,INDUS - 0.2,0.7769,18.8814,mean
532,INDUS - 0.2,0.7768,18.8854,mean
533,INDUS - 0.2,0.7767,18.8958,mean
534,INDUS - 0.2,0.7757,18.9783,mean
535,INDUS - 0.2,0.7763,18.9265,mean
536,INDUS - 0.2,0.7769,18.8773,mean
537,INDUS - 0.2,0.777,18.8726,mean
538,INDUS - 0.2,0.7763,18.9331,mean
539,INDUS - 0.2,0.7768,18.8876,mean
540,INDUS - 0.2,0.7767,18.8945,mean
541,INDUS - 0.2,0.7764,18.9187,mean
542,INDUS - 0.2,0.7771,18.8608,mean
543,INDUS - 0.2,0.7766,18.9054,mean
544,INDUS - 0.2,0.7772,18.8569,mean
545,INDUS - 0.2,0.7764,18.9231,mean
546,INDUS - 0.2,0.7769,18.8759,mean
547,INDUS - 0.2,0.7761,18.9434,mean
548,INDUS - 0.2,0.7765,18.9099,mean
549,INDUS - 0.2,0.7768,18.887,mean
550,INDUS - 0.2,0.7769,18.8817,mean
551,INDUS - 0.2,0.7766,18.9077,mean
552,INDUS - 0.2,0.7769,18.8828,mean
553,INDUS - 0.2,0.7757,18.9855,mean
554,INDUS - 0.2,0.7764,18.9239,mean
555,INDUS - 0.2,0.7768,18.8867,mean
556,INDUS - 0.2,0.7765,18.9127,mean
557,INDUS - 0.2,0.7758,18.9728,mean
558,INDUS - 0.2,0.7768,18.891,mean
559,INDUS - 0.2,0.7767,18.8952,mean
560,INDUS - 0.2,0.7766,18.908,mean
561,INDUS - 0.2,0.7763,18.9282,mean
562,INDUS - 0.2,0.7766,18.9034,mean
563,INDUS - 0.2,0.7767,18.8979,mean
